Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;Tarifa de Liquidación;Tarifa de Intercambio;Tarifa de IP;Tarifa de NFA;MAE;MFE;ETD;Barras;
1;ETHBTC;Backtest;CRUCEEMA;Long;1;0,10773;0,10558;21/7/2017 12:00:00 a m;21/7/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-2,00 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
2;ETHBTC;Backtest;CRUCEEMA;Long;1;0,08533;0,08362;11/8/2017 12:00:00 a m;11/8/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-3,96 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
3;ETHBTC;Backtest;CRUCEEMA;Long;1;0,08461;0,08292;13/8/2017 12:00:00 a m;14/8/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-5,88 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;3,04 %;5,03 %;2;
4;ETHBTC;Backtest;CRUCEEMA;Long;1;0,08069;0,07908;24/8/2017 12:00:00 a m;24/8/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-7,76 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
5;ETHBTC;Backtest;CRUCEEMA;Long;1;0,08065;0,07904;30/8/2017 12:00:00 a m;30/8/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-9,60 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
6;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07556;0,07405;26/9/2017 12:00:00 a m;28/9/2017 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-11,40 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;3,23 %;5,23 %;3;
7;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05084;0,04982;26/11/2017 12:00:00 a m;26/11/2017 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-13,18 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
8;ETHBTC;Backtest;CRUCEEMA;Long;1;0,04623;0,04531;22/12/2017 12:00:00 a m;22/12/2017 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;-14,91 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,00 %;1,99 %;1;
9;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06867;0,06730;22/4/2018 12:00:00 a m;23/4/2018 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-16,61 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;3,80 %;5,80 %;2;
10;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07722;0,07568;3/6/2018 12:00:00 a m;12/6/2018 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;-18,27 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;4,71 %;6,71 %;10;
